"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.625676000E-3;1.685518026E0;3.596091032E0;8.068459511E0;8.992935038E0
2.626717600E-2;1.479616642E0;3.548206806E0;8.853757858E0;9.652360600E0
4.224742600E-2;1.321599364E0;3.543418407E0;9.385271072E0;1.011858449E1
5.503605100E-2;1.292868972E0;3.466804028E0;9.548076630E0;1.023992225E1
6.663236300E-2;1.154005170E0;3.332728863E0;9.370905876E0;1.001262636E1
7.744751900E-2;1.484405041E0;3.270479441E0;9.064447403E0;9.750061580E0
8.775059700E-2;2.078166962E0;3.371036053E0;8.815450668E0;9.664100190E0
9.763563600E-2;2.317587137E0;3.581725836E0;8.671798706E0;9.664370797E0
1.076036560E-1;2.351106167E0;3.916913986E0;8.446743965E0;9.602989066E0
1.176261660E-1;2.202665567E0;4.280832767E0;8.197746277E0;9.506855884E0
1.276254210E-1;2.164358377E0;4.400542736E0;8.130708694E0;9.495138094E0
1.376370480E-1;2.073378563E0;4.472368717E0;8.245630264E0;9.606841264E0
1.476853620E-1;1.838746905E0;4.386177540E0;8.475474358E0;9.718704089E0
1.576455190E-1;1.838746905E0;4.137180328E0;8.628703117E0;9.744319819E0
1.679560970E-1;1.781286120E0;3.998316765E0;8.561665535E0;9.615697267E0
1.781153860E-1;1.647210717E0;4.232948780E0;8.207323074E0;9.380368360E0
1.881035310E-1;1.666364431E0;4.386177540E0;7.589619160E0;8.922871893E0
1.980561030E-1;2.025494576E0;4.304774761E0;6.909666061E0;8.389111938E0
2.081098890E-1;2.336740971E0;4.055777550E0;6.646304131E0;8.129148079E0
2.181232820E-1;2.868253708E0;2.346317768E0;6.876147270E0;7.811113089E0
2.280199790E-1;2.193088770E0;2.202665567E0;7.575253963E0;8.188152818E0
2.381568270E-1;2.355894566E0;3.529053211E0;8.604761124E0;9.594079933E0
2.482152510E-1;2.226607561E0;3.701435804E0;8.480262756E0;9.516998721E0
2.581759630E-1;2.193088770E0;3.701435804E0;8.087613106E0;9.160772408E0
2.678738190E-1;2.044648170E0;3.950432777E0;7.690176010E0;8.883991914E0
2.778352470E-1;1.886630893E0;4.175487995E0;7.431602001E0;8.730566100E0
2.878664610E-1;1.934514999E0;4.429273129E0;7.273584843E0;8.733031844E0
2.979485680E-1;2.011129379E0;4.750096321E0;6.976703644E0;8.676545982E0
3.079221220E-1;1.996764183E0;5.032611847E0;6.818686485E0;8.706821153E0
3.179138990E-1;1.786074519E0;5.066130638E0;6.976703644E0;8.805119849E0
3.279837870E-1;1.221042871E0;4.515464306E0;7.335834026E0;8.700277263E0
3.379297310E-1;9.959878922E-1;4.228160381E0;7.766790390E0;8.899009218E0
3.479477030E-1;3.016694188E-1;5.616796970E0;8.039729118E0;9.812066905E0
3.578666890E-1;4.932055473E-1;6.780379295E0;7.594407558E0;1.019273375E1
3.680271820E-1;1.063025594E0;7.613561630E0;7.378929615E0;1.065574711E1
3.779549290E-1;1.350329757E0;8.207323074E0;7.900865555E0;1.147201896E1
3.879673020E-1;9.576806426E-2;8.504204750E0;8.121131897E0;1.175939851E1
3.978104890E-1;9.864110947E-1;8.360552788E0;7.977479935E0;1.159793240E1
4.077510820E-1;3.232172251E0;8.010998726E0;8.863334656E0;1.237666107E1
