"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;1.072602391E0;5.884947777E0;6.933608055E0;9.157401754E0
1.377222400E-2;7.661445141E-1;5.798756599E0;7.297526836E0;9.352350156E0
2.950822400E-2;5.123591423E-1;5.712565422E0;7.694964409E0;9.597311751E0
4.262422400E-2;3.208230138E-1;5.645527840E0;7.867346764E0;9.688656104E0
5.398072400E-2;3.208230138E-1;5.635950565E0;7.752425194E0;9.589940697E0
6.473197400E-2;3.399766386E-1;5.631162167E0;7.493851185E0;9.379945471E0
7.494309900E-2;4.836287498E-1;5.525817394E0;7.412448406E0;9.258128646E0
8.525316100E-2;6.272808313E-1;5.276820660E0;7.565677166E0;9.245419866E0
9.546169200E-2;5.698199868E-1;5.286397457E0;7.920019150E0;9.539255538E0
1.055324580E-1;6.560112834E-1;5.319916248E0;8.231265068E0;9.822707586E0
1.156478410E-1;8.667010069E-1;5.501875401E0;8.293514252E0;9.990204312E0
1.254835320E-1;9.337386489E-1;5.688623428E0;7.790732384E0;9.691636366E0
1.353698780E-1;1.197100878E0;5.784391403E0;7.450755596E0;9.508206633E0
1.452905510E-1;1.163581967E0;5.803544998E0;7.460332394E0;9.523214634E0
1.552948870E-1;8.379706144E-1;5.865794182E0;7.709329605E0;9.723348142E0
1.653835550E-1;4.979939461E-1;5.913678169E0;7.723694801E0;9.740382377E0
1.753968890E-1;7.469909191E-1;6.014234543E0;7.939172745E0;9.987966582E0
1.854275560E-1;1.426944256E0;6.555324078E0;9.002198219E0;1.122711078E1
1.954233900E-1;8.092401624E-1;6.110002518E0;7.776367188E0;9.922645164E0
2.054733070E-1;1.249773264E0;6.435614109E0;7.034164429E0;9.615535938E0
2.153597650E-1;2.197877169E0;6.392518520E0;7.254431248E0;9.915731431E0
2.255349940E-1;2.217030764E0;6.344634533E0;7.283161640E0;9.910300512E0
2.354661090E-1;2.140416384E0;6.181828976E0;7.292738438E0;9.796960023E0
2.455181660E-1;1.900996208E0;6.023811340E0;7.278373241E0;9.637157604E0
2.554136950E-1;1.690306425E0;6.454767704E0;6.598419666E0;9.384045184E0
2.654809590E-1;1.599326730E0;6.607996464E0;6.378153324E0;9.322247748E0
2.754610910E-1;1.091755986E0;6.722918510E0;6.047753334E0;9.108506179E0
2.853376570E-1;5.171475410E-1;6.641515732E0;5.736507416E0;8.791171146E0
2.953334400E-1;2.873042040E-2;6.488286495E0;5.741295815E0;8.663784664E0
3.053698320E-1;-2.250549644E-1;6.325480938E0;6.009446144E0;8.727874987E0
3.153050280E-1;-5.075707436E-1;6.330269337E0;6.220136166E0;8.889321226E0
3.257151260E-1;-5.985504389E-1;6.449979305E0;6.421248913E0;9.121016022E0
3.355371750E-1;-4.788403511E-1;6.540958881E0;6.895300865E0;9.516228517E0
3.454701990E-1;1.532289088E-1;6.253654957E0;7.680599213E0;9.905719746E0
3.553512110E-1;8.523358107E-1;6.167463779E0;7.872135162E0;1.003666268E1
3.653087170E-1;1.292868972E0;6.593631268E0;7.043741226E0;9.734565934E0
3.753364700E-1;1.230619669E0;7.450755596E0;6.315904140E0;9.844736098E0
3.853498470E-1;1.604115129E0;7.268796444E0;6.837840080E0;1.010765275E1
3.952390350E-1;1.474828243E0;7.129932880E0;7.455543995E0;1.042094993E1
4.051986290E-1;1.053448796E0;7.163451672E0;7.656657219E0;1.053798814E1
4.151634260E-1;6.416460276E-1;7.129932880E0;7.671022415E0;1.049248481E1
4.252753250E-1;3.256114423E-1;7.053318024E0;7.412448406E0;1.023717292E1
4.353652740E-1;2.298433632E-1;6.876147270E0;7.062894821E0;9.859954995E0
4.453027490E-1;2.298433632E-1;6.579266071E0;6.713341713E0;9.402580867E0
4.553084860E-1;2.873042040E-2;6.512228489E0;5.554547787E0;8.559377690E0
4.653373550E-1;-1.628057212E-1;7.388506413E0;4.683058739E0;8.749146922E0
4.753277890E-1;-3.878606856E-1;7.685387611E0;4.745307922E0;9.040661808E0
4.852390060E-1;-3.160346150E-1;7.580042362E0;5.822698593E0;9.563510809E0
4.951986150E-1;-2.011129409E-1;7.776367188E0;6.607996464E0;1.020676003E1
5.052049190E-1;-2.298433632E-1;7.685387611E0;7.196970463E0;1.053159031E1
5.151960710E-1;-2.873041928E-1;7.594407558E0;7.283161640E0;1.052625353E1
5.252356470E-1;-2.442085743E-1;7.417236805E0;6.952761650E0;1.016936253E1
5.351774350E-1;-1.675941199E-1;7.249642849E0;6.794744492E0;9.937502802E0
5.451698290E-1;-9.097966552E-2;7.354987621E0;6.167463779E0;9.599048374E0
5.551440260E-1;3.543418646E-1;7.570465565E0;5.726930618E0;9.499223196E0
5.651891250E-1;6.847416759E-1;8.063671112E0;5.501875401E0;9.785821166E0
5.751556740E-1;1.082179189E0;8.403648376E0;5.573701382E0;1.014192117E1
5.852184490E-1;1.292868972E0;8.159439087E0;5.870582581E0;1.013467790E1
5.951798360E-1;1.455674648E0;7.987056732E0;5.683835030E0;9.910501731E0
6.051440300E-1;1.412579060E0;7.900865555E0;5.238513470E0;9.584418578E0
6.151266270E-1;1.139639974E0;7.809885979E0;4.908113480E0;9.294228112E0
6.251494250E-1;8.140285611E-1;7.910442352E0;4.477157116E0;9.125934284E0
6.351678240E-1;7.517793179E-1;7.776367188E0;4.218583584E0;8.878823471E0
6.452010240E-1;8.810662031E-1;7.824251175E0;4.323928356E0;8.982847017E0
6.551611240E-1;9.864110947E-1;7.958326340E0;4.687847137E0;9.288911441E0
6.651471740E-1;1.326387763E0;8.231265068E0;5.094861031E0;9.770907739E0
6.751451990E-1;1.570596337E0;8.355764389E0;5.324704647E0;1.003185182E1
6.851887110E-1;1.905784607E0;8.250418663E0;4.994304657E0;9.830793564E0
6.951754670E-1;3.007117271E0;8.638279915E0;4.759673119E0;1.031101946E1
7.051518450E-1;3.136404276E0;7.795520782E0;4.486733913E0;9.525647341E0
7.151800340E-1;2.724601507E0;7.627926826E0;4.074931145E0;9.067181749E0
7.251671290E-1;2.082955360E0;8.331821442E0;3.902548790E0;9.433336559E0
7.351566760E-1;1.532289028E0;8.633491516E0;3.955221176E0;9.619192273E0
7.451589500E-1;1.455674648E0;8.441955566E0;3.969586372E0;9.441568643E0
7.551380870E-1;1.685518026E0;8.413225174E0;4.237737179E0;9.569835173E0
7.651386550E-1;1.886630893E0;8.499416351E0;4.702212334E0;9.894961105E0
7.751299390E-1;1.953668594E0;8.552088737E0;5.042188644E0;1.011823646E1
7.851770810E-1;1.896207690E0;7.814674377E0;4.917690277E0;9.425943820E0
7.951571520E-1;1.805228114E0;7.115567684E0;4.539406300E0;8.631127479E0
8.052641880E-1;8.475474119E-1;1.007480049E1;4.285621166E0;1.098118802E1
8.151997060E-1;8.140286058E-2;8.882488251E0;4.103661537E0;9.784950790E0
8.252264650E-1;7.182604820E-2;8.959102631E0;3.768473387E0;9.719674408E0
8.352603440E-1;5.746084079E-2;9.356540680E0;3.509899616E0;9.993375334E0
8.452047840E-1;-1.915361360E-2;8.580819130E0;3.078943491E0;9.116507929E0
8.551730040E-1;1.580173075E-1;8.360552788E0;1.771709204E0;8.547676052E0
8.651426140E-1;1.197100878E-1;8.513781548E0;-1.216254473E0;8.601051197E0
8.751384190E-1;-4.070142806E-1;8.470685959E0;-6.828263283E0;1.088776197E1
8.852193210E-1;-4.836287498E-1;8.767566681E0;-1.060631371E1;1.376945942E1
8.952007720E-1;-4.261679053E-1;9.198522568E0;-1.358948898E1;1.641550022E1
9.052164980E-1;-1.915361360E-2;9.428366661E0;-1.347456741E1;1.644562044E1
9.151748610E-1;8.619126081E-1;9.150638580E0;-8.365341187E0;1.242803335E1
9.251935420E-1;1.024718285E0;9.002198219E0;-3.371036053E0;9.667135274E0
9.352083830E-1;8.667010069E-1;8.925583839E0;4.788403399E-3;8.967566026E0
9.451923030E-1;8.283938169E-1;8.791508675E0;1.810016513E0;9.014045755E0
