"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;2.068590164E0;5.114014626E0;6.842628479E0;8.789412686E0
1.483163200E-2;2.059013367E0;5.176264286E0;6.890512466E0;8.860722885E0
3.066313200E-2;1.915361404E0;5.204994678E0;6.746860504E0;8.733882617E0
4.362688200E-2;1.948880196E0;5.133168221E0;6.593631268E0;8.580415100E0
5.501325700E-2;2.130839586E0;5.133168221E0;6.631938934E0;8.652890116E0
6.571594400E-2;2.336740971E0;5.195417881E0;6.842628479E0;8.903611055E0
7.606178800E-2;2.461239338E0;5.300762653E0;7.249642849E0;9.311987179E0
8.617871000E-2;2.509123325E0;5.540182590E0;7.460332394E0;9.625273109E0
9.632067100E-2;2.513911724E0;5.674258232E0;7.465120792E0;9.707985738E0
1.063406510E-1;2.442085743E0;5.770026207E0;7.503427982E0;9.775398544E0
1.163551410E-1;2.547430515E0;5.693411827E0;8.082824707E0;1.020962270E1
1.264343860E-1;2.537853718E0;5.578489780E0;8.221688271E0;1.025457984E1
1.363780090E-1;2.355894566E0;5.444414616E0;8.106766701E0;1.004547441E1
1.464018200E-1;3.155557871E0;4.022258759E0;8.030152321E0;9.519425261E0
1.564172260E-1;2.748543501E0;4.874594688E0;7.752425194E0;9.561185132E0
1.663634290E-1;2.743755102E0;5.698200226E0;7.632715225E0;9.912417444E0
1.764540300E-1;3.433285236E0;5.875370979E0;7.201758862E0;9.908216911E0
1.864738310E-1;3.543418407E0;5.573701382E0;6.675034523E0;9.390316661E0
1.965007310E-1;2.964021683E0;5.635950565E0;6.521805286E0;9.115004526E0
2.064811810E-1;2.595314741E0;5.631162167E0;6.545747280E0;9.016232772E0
2.164814060E-1;2.494758129E0;5.463568211E0;6.737283707E0;9.025817828E0
2.264460190E-1;2.456450939E0;5.468356609E0;6.991068840E0;9.209349529E0
2.364333250E-1;2.389413357E0;5.655104637E0;7.134721279E0;9.412425425E0
2.464219780E-1;2.308010340E0;5.683835030E0;7.675810814E0;9.826035010E0
2.564398050E-1;2.489969730E0;5.511452198E0;8.580819130E0;1.049792892E1
2.664432180E-1;2.652775526E0;5.238513470E0;9.193734169E0;1.090889496E1
2.765159250E-1;2.643198729E0;5.008669853E0;9.217676163E0;1.081844846E1
2.865642780E-1;1.790862918E0;5.597643375E0;7.608773232E0;9.614272278E0
2.965314550E-1;2.810792685E0;6.430825710E0;5.951985359E0;9.202293440E0
