"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.187002800E-2;1.872265697E0;6.809109688E0;6.483498096E0;9.586714826E0
5.352952800E-2;1.307234168E0;6.933608055E0;6.804321289E0;9.802171700E0
6.976977800E-2;1.441309452E0;6.785167694E0;6.852205276E0;9.750312340E0
8.244040300E-2;1.307234168E0;6.727706909E0;7.010222435E0;9.803780904E0
9.380871500E-2;1.144428372E0;6.804321289E0;7.058106422E0;9.870429108E0
1.044783710E-1;1.005564690E0;6.904877663E0;6.933608055E0;9.836839764E0
1.148056990E-1;1.010353088E0;6.900089264E0;6.698976517E0;9.669970609E0
1.249628630E-1;1.067813993E0;6.943184853E0;6.354211330E0;9.472277670E0
1.350419450E-1;1.063025594E0;7.019799232E0;6.162675381E0;9.401392053E0
1.450759860E-1;1.015141487E0;7.058106422E0;6.153098583E0;9.418492485E0
1.550910070E-1;9.864110947E-1;7.101202011E0;6.014234543E0;9.357942829E0
1.650950170E-1;1.005564690E0;7.173028469E0;6.124367714E0;9.485324331E0
1.751280220E-1;8.954314590E-1;7.134721279E0;6.114790916E0;9.439105529E0
1.851725250E-1;8.331822157E-1;7.086836815E0;5.894524574E0;9.255423740E0
1.951602760E-1;7.757213712E-1;6.971915245E0;5.631162167E0;8.995517393E0
2.051566520E-1;8.667010069E-1;6.847416878E0;5.760449409E0;8.990053722E0
2.151393400E-1;9.576807022E-1;6.847416878E0;6.301538944E0;9.354873772E0
2.251261840E-1;9.337386489E-1;6.924031258E0;6.651092529E0;9.646300252E0
2.351346060E-1;9.002198577E-1;6.895300865E0;6.258443356E0;9.355409293E0
2.451773170E-1;8.523358107E-1;6.818686485E0;5.951985359E0;9.091044573E0
2.551486720E-1;7.374141216E-1;6.924031258E0;6.062118530E0;9.232294922E0
2.653468500E-1;6.799532771E-1;7.168240070E0;6.382941723E0;9.622263102E0
2.753049390E-1;8.667010069E-1;7.182605267E0;6.344634533E0;9.622649137E0
2.853079830E-1;8.667010069E-1;7.235277653E0;6.047753334E0;9.469727226E0
2.952035050E-1;8.092401624E-1;7.192182064E0;6.081272125E0;9.453265211E0
3.052457660E-1;7.086837292E-1;7.077260017E0;6.478709698E0;9.620993781E0
3.152283970E-1;7.086837292E-1;7.000645638E0;6.756437302E0;9.755035468E0
3.252702120E-1;9.385270476E-1;7.019799232E0;7.058106422E0;9.998763951E0
3.354666200E-1;1.072602391E0;6.991068840E0;6.971915245E0;9.931420926E0
3.457818240E-1;1.000776291E0;7.019799232E0;6.861782074E0;9.867278636E0
3.554489260E-1;9.385270476E-1;6.967126846E0;7.053318024E0;9.958462966E0
3.653309770E-1;9.145850539E-1;6.933608055E0;7.335834026E0;1.013537603E1
3.752245020E-1;9.528923035E-1;6.971915245E0;7.532158375E0;1.030771632E1
3.851797650E-1;1.010353088E0;6.924031258E0;7.532158375E0;1.028087701E1
3.951558960E-1;1.053448796E0;6.909666061E0;7.096413612E0;9.960538419E0
4.052099620E-1;9.481038451E-1;6.684611320E0;6.770802498E0;9.561730799E0
4.153544950E-1;7.565677166E-1;6.689399719E0;6.698976517E0;9.497196938E0
4.252712610E-1;5.171475410E-1;6.823474884E0;6.722918510E0;9.592960146E0
4.352111440E-1;6.081272364E-1;6.895300865E0;7.048529625E0;9.879107380E0
4.451575860E-1;7.422025204E-1;7.608773232E0;7.134721279E0;1.045698534E1
4.551663070E-1;1.125274777E0;7.618350029E0;6.871358871E0;1.032090467E1
4.651531670E-1;1.125274777E0;7.460332394E0;6.349422932E0;9.860931716E0
4.751330970E-1;8.954314590E-1;7.326257229E0;5.937620163E0;9.472654099E0
4.851375620E-1;6.703764796E-1;7.307103634E0;5.583278179E0;9.220420997E0
4.951142950E-1;5.267243981E-1;7.436390400E0;5.425261021E0;9.220130038E0
5.051261610E-1;6.943184733E-1;7.422025204E0;5.401319027E0;9.205584365E0
5.151115940E-1;1.048660398E0;7.240066051E0;5.559336185E0;9.188278614E0
5.251783110E-1;1.359906554E0;7.192182064E0;5.832275391E0;9.359073934E0
5.351601690E-1;1.398213744E0;7.350199223E0;6.205770969E0;9.720700778E0
5.451660980E-1;1.455674648E0;7.287950039E0;6.220136166E0;9.691403323E0
5.560610630E-1;1.450886250E0;7.235277653E0;6.081272125E0;9.562226952E0
5.656310450E-1;1.316810966E0;7.220912457E0;5.813121796E0;9.363116620E0
5.754265360E-1;1.197100878E0;6.938396454E0;5.549759388E0;8.965167323E0
5.852822820E-1;1.221042871E0;6.473921299E0;5.712565422E0;8.719862750E0
5.952071550E-1;7.326257229E-1;7.139509678E0;5.410895824E0;8.988166249E0
6.051670910E-1;3.878606856E-1;8.389283180E0;5.181052685E0;9.867817140E0
6.154280590E-1;4.165911078E-1;8.034940720E0;6.042964935E0;1.006236780E1
6.252750430E-1;6.272808313E-1;7.331045628E0;6.378153324E0;9.737481762E0
6.352265350E-1;5.650315881E-1;7.153874874E0;5.693411827E0;9.160356142E0
6.451822810E-1;3.064578176E-1;8.413225174E0;5.051765442E0;9.818177443E0
6.551641540E-1;6.177040339E-1;8.374917984E0;5.851428986E0;1.023523476E1
6.651405910E-1;9.624691010E-1;7.694964409E0;6.402095318E0;1.005612492E1
6.751688090E-1;1.053448796E0;7.685387611E0;5.726930618E0;9.642233736E0
6.851909180E-1;7.852981687E-1;8.662221909E0;4.659116745E0;9.867023383E0
6.951954730E-1;7.278373241E-1;8.896853447E0;4.745307922E0;1.010948543E1
