"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;1.110909581E0;6.617573261E0;6.823474884E0;9.570068206E0
2.302916600E-2;7.757213712E-1;6.675034523E0;7.278373241E0;9.906187287E0
3.769516600E-2;7.422025204E-1;6.651092529E0;7.364564419E0;9.951115791E0
5.002316600E-2;7.182605267E-1;6.540958881E0;7.402871609E0;9.904673106E0
6.119716600E-2;6.895300746E-1;6.387730122E0;7.206547260E0;9.654681312E0
7.176616600E-2;1.283292055E0;6.335057735E0;7.024587631E0;9.545921977E0
8.206816600E-2;1.053448796E0;6.540958881E0;6.856993675E0;9.534792065E0
9.221416600E-2;6.847416759E-1;6.670246124E0;6.746860504E0;9.512159649E0
1.022766660E-1;6.129156351E-1;6.670246124E0;6.574477673E0;9.385712845E0
1.125814160E-1;7.278373241E-1;6.646304131E0;6.378153324E0;9.240343370E0
1.225157910E-1;9.385270476E-1;6.584054470E0;6.315904140E0;9.171763810E0
1.324704780E-1;1.130063176E0;6.603208065E0;6.258443356E0;9.167743057E0
1.424168220E-1;1.350329757E0;6.742072105E0;6.210559368E0;9.265526126E0
1.524659940E-1;1.489193439E0;6.799532890E0;6.234501362E0;9.344535936E0
1.624085800E-1;1.877054095E0;6.794744492E0;6.258443356E0;9.426558121E0
1.723818730E-1;1.479616642E0;7.024587631E0;6.263231754E0;9.526918117E0
1.823625190E-1;1.201889277E0;7.125144482E0;6.272808552E0;9.568717200E0
1.924038420E-1;1.206677675E0;6.981492043E0;6.248866558E0;9.446990813E0
2.023685040E-1;1.091755986E0;7.115567684E0;6.813898087E0;9.912236969E0
2.124053350E-1;9.720458984E-1;7.354987621E0;7.819462776E0;1.077890135E1
2.224847500E-1;8.906430602E-1;7.173028469E0;8.427590370E0;1.110269616E1
2.325304580E-1;1.110909581E0;6.986280441E0;8.480262756E0;1.104341844E1
2.425623120E-1;1.273715258E0;6.789956093E0;8.078036308E0;1.062922974E1
2.525327390E-1;1.431732655E0;6.536170483E0;7.259219646E0;9.872570731E0
2.624914520E-1;1.297657371E0;6.378153324E0;6.090848923E0;8.914213094E0
2.724653090E-1;1.077390790E0;6.430825710E0;5.588066578E0;8.587361545E0
2.824477370E-1;6.607996821E-1;6.588842869E0;5.363011837E0;8.521232454E0
2.925449510E-1;4.453215301E-1;6.914454460E0;5.377377033E0;8.770642822E0
3.024505580E-1;4.070142806E-1;7.096413612E0;5.583278179E0;9.038680324E0
3.124023620E-1;4.501099288E-1;7.350199223E0;5.717353821E0;9.322883796E0
3.223757640E-1;6.033388376E-1;7.364564419E0;5.770026207E0;9.375181559E0
3.323729650E-1;7.517793179E-1;7.268796444E0;5.770026207E0;9.310949270E0
3.423580650E-1;8.379706144E-1;7.201758862E0;5.726930618E0;9.239332214E0
3.523716150E-1;6.081272364E-1;7.364564419E0;5.564124584E0;9.250195144E0
3.623648900E-1;4.309563041E-1;7.738059998E0;5.602431774E0;9.562977447E0
3.724010280E-1;1.867477298E-1;7.857769966E0;5.846640587E0;9.796051741E0
3.823735970E-1;1.388636976E-1;7.747636795E0;6.019022942E0;9.811921127E0
3.923758810E-1;5.746084079E-2;7.623138428E0;5.851428986E0;9.610138522E0
4.027850230E-1;-4.644751251E-1;7.843404770E0;5.798756599E0;9.765260551E0
4.126115940E-1;-3.064578176E-1;7.785943985E0;5.861005783E0;9.750191225E0
4.225723800E-1;4.979939461E-1;7.728483200E0;5.712565422E0;9.623453343E0
4.324692730E-1;1.034295082E0;7.857769966E0;5.181052685E0;9.468770885E0
4.424377190E-1;1.292868972E0;7.862558365E0;4.750096321E0;9.276569909E0
4.524689420E-1;1.177947283E0;7.637503624E0;4.635174274E0;9.011318547E0
4.624780540E-1;1.034295082E0;7.503427982E0;4.405331135E0;8.762313633E0
4.725121100E-1;8.858546019E-1;7.465120792E0;4.247313976E0;8.634375648E0
4.824406380E-1;7.948749661E-1;7.484274387E0;4.434061527E0;8.735393005E0
4.923949020E-1;7.469909191E-1;7.570465565E0;4.826710701E0;9.009277468E0
5.023700340E-1;7.374141216E-1;7.513004780E0;5.391742229E0;9.276847777E0
5.124176000E-1;6.751648784E-1;7.340622425E0;6.124367714E0;9.583760488E0
5.225253830E-1;6.416460276E-1;7.307103634E0;6.823474884E0;1.001824748E1
5.324432740E-1;5.841852427E-1;7.522581577E0;7.465120792E0;1.061407247E1
5.424077200E-1;4.548983276E-1;7.584830761E0;7.920019150E0;1.097557714E1
5.523824430E-1;4.644751251E-1;7.556100368E0;7.967903137E0;1.099080845E1
5.624103040E-1;4.596867263E-1;7.393294811E0;7.852981567E0;1.079543605E1
5.724242350E-1;5.027823448E-1;7.268796444E0;7.627926826E0;1.054862358E1
5.823872000E-1;3.591302633E-1;7.556100368E0;7.422025204E0;1.059764528E1
5.924076830E-1;1.723825186E-1;7.843404770E0;7.211335659E0;1.065608165E1
6.023949240E-1;2.873042040E-2;7.800309181E0;6.818686485E0;1.036050839E1
6.124130450E-1;2.106897533E-1;7.580042362E0;6.804321289E0;1.018823933E1
6.224066050E-1;4.453215301E-1;7.532158375E0;7.086836815E0;1.035156882E1
6.323938850E-1;3.782838583E-1;7.704541206E0;7.335834026E0;1.064506997E1
6.423860250E-1;3.016694188E-1;7.867346764E0;7.278373241E0;1.072198053E1
6.524075950E-1;1.101332754E-1;7.967903137E0;6.924031258E0;1.055660071E1
6.625213800E-1;-1.532289088E-1;7.948749542E0;6.330269337E0;1.016259850E1
6.724332730E-1;-4.022258818E-1;7.900865555E0;5.525817394E0;9.649876686E0
6.824287190E-1;-5.602431893E-1;7.905653954E0;4.745307922E0;9.237487978E0
6.924484420E-1;-7.182605267E-1;7.843404770E0;4.122815132E0;8.890022564E0
7.027863040E-1;-7.565677166E-1;7.785943985E0;3.677493811E0;8.643915732E0
7.126312350E-1;-7.230489254E-1;7.776367188E0;3.423708439E0;8.527395022E0
7.225022000E-1;-5.841852427E-1;8.087613106E0;3.150769472E0;8.699316434E0
7.324281830E-1;-4.836287498E-1;8.269572258E0;3.131615877E0;8.855887313E0
7.423906740E-1;-3.926490843E-1;8.513781548E0;3.208230257E0;9.106667389E0
7.523634200E-1;-2.777273953E-1;8.820239067E0;3.327940464E0;9.431274433E0
7.623847930E-1;1.915361285E-1;8.825027466E0;3.514688015E0;9.501096132E0
7.724994790E-1;8.667010069E-1;8.786720276E0;3.840299606E0;9.628370834E0
7.824438220E-1;1.407790542E0;8.662221909E0;4.175487995E0;9.718573074E0
7.924039940E-1;1.537077546E0;8.451532364E0;4.510675907E0;9.702432881E0
8.023625800E-1;1.221042871E0;8.422801971E0;4.582501888E0;9.666119299E0
8.123903730E-1;7.278373241E-1;8.585607529E0;4.496310711E0;9.719013006E0
8.223527690E-1;4.118026793E-1;8.963891029E0;4.395754337E0;9.992175941E0
8.323784670E-1;3.399766386E-1;9.107542992E0;4.352658749E0;1.009992879E1
8.424848160E-1;3.543418646E-1;9.021351814E0;4.218583584E0;9.965279432E0
8.524779910E-1;4.740519226E-1;8.930372238E0;4.256890774E0;9.904412784E0
8.624755780E-1;5.554547906E-1;8.767566681E0;4.065354347E0;9.680178795E0
8.724293720E-1;7.230489254E-1;8.504204750E0;3.763684988E0;9.327894879E0
8.823992690E-1;1.029506683E0;8.303091049E0;3.620033026E0;9.116240677E0
8.923762170E-1;1.316810966E0;8.020575523E0;3.711012602E0;8.935056652E0
9.023591910E-1;1.297657371E0;8.092401505E0;3.615244627E0;8.957726859E0
9.124351780E-1;9.864110947E-1;8.245630264E0;3.519476414E0;9.019431220E0
9.224521720E-1;6.320692301E-1;8.695740700E0;3.184288263E0;9.281977676E0
9.324326690E-1;-1.867477298E-1;9.548076630E0;2.949656487E0;9.995054549E0
9.424034170E-1;-3.447650373E-1;9.337387085E0;2.647987127E0;9.711719535E0
9.524087910E-1;-4.596867263E-1;9.112331390E0;2.513911724E0;9.463912902E0
9.624939780E-1;-5.458779931E-1;9.576807022E0;1.924938202E0;9.783588432E0
9.724485720E-1;-6.512228847E-1;9.533711433E0;1.359906554E0;9.652206524E0
9.824128690E-1;-7.565677166E-1;9.605537415E0;9.385270476E-1;9.680887188E0
9.924040170E-1;-5.315127969E-1;9.423578262E0;5.075707436E-1;9.452193459E0
1.002388591E0;-3.447650373E-1;9.643844604E0;2.298433632E-1;9.652742080E0
1.012552378E0;-3.543418646E-1;9.739612579E0;-1.771709323E-1;9.747666433E0
1.022527772E0;-2.968810201E-1;9.849745750E0;-9.097966552E-1;9.896128518E0
1.032449969E0;-2.442085743E-1;9.701305389E0;-1.551442742E0;9.827611036E0
1.042407567E0;-1.388636976E-1;9.648633003E0;-2.039859772E0;9.862881417E0
1.052437366E0;-9.576806426E-2;9.672574997E0;-2.571372509E0;1.000898772E1
1.062404766E0;1.580173075E-1;9.696516991E0;-2.820369720E0;1.009959883E1
1.072382466E0;6.703764796E-1;9.658209801E0;-2.279279947E0;9.946131824E0
1.082373316E0;7.757213712E-1;9.730035782E0;-1.312022567E0;9.848692460E0
1.092443241E0;8.044517636E-1;9.528923035E0;-7.182604820E-2;9.563089241E0
1.102432703E0;6.416460276E-1;9.634267807E0;9.145850539E-1;9.698829394E0
1.112437934E0;5.123591423E-1;9.572018623E0;1.618480325E0;9.721395526E0
1.122407050E0;3.351882398E-1;9.514557838E0;2.030282974E0;9.734537019E0
1.132403108E0;9.576806426E-2;9.567230225E0;2.360682964E0;9.854637982E0
1.142401637E0;-7.661445439E-2;9.782708168E0;2.738966703E0;1.015919227E1
1.152406901E0;-1.115697980E0;9.907206535E0;7.714118004E0;1.260575820E1
1.162445033E0;6.224924326E-2;9.911994934E0;1.651999116E0;1.004891136E1
1.172462599E0;5.602431893E-1;9.902418137E0;8.188169599E-1;9.951995709E0
1.182438382E0;3.543418646E-1;9.461885452E0;-2.250549644E-1;9.471192333E0
1.192394774E0;1.101332754E-1;9.514557838E0;-1.695094824E0;9.665003190E0
1.202384470E0;2.968810201E-1;9.586383820E0;-2.135627985E0;9.825874005E0
1.212468318E0;5.650315881E-1;9.634267807E0;-1.570596337E0;9.777788591E0
1.222488242E0;6.655880809E-1;9.653421402E0;-3.830722570E-1;9.683919486E0
1.232420204E0;4.788403511E-1;9.706093788E0;6.368576288E-1;9.738743879E0
1.242388185E0;9.576806799E-3;9.749189377E0;1.144428372E0;9.816134755E0
1.252362675E0;-3.926490843E-1;9.797073364E0;1.115697980E0;9.868211681E0
1.262373420E0;-5.027823448E-1;9.706093788E0;6.033388376E-1;9.737816206E0
1.272396293E0;-1.723825186E-1;9.557653427E0;1.532289088E-1;9.560435862E0
1.282415729E0;2.298433632E-1;9.581595421E0;-1.340752989E-1;9.585289509E0
1.292389447E0;4.836287498E-1;9.591172218E0;-1.388636976E-1;9.604361739E0
1.302478806E0;2.121262789E0;1.030464458E1;-1.149216816E-1;1.052134320E1
1.312475986E0;3.399766386E-1;9.088389397E0;4.692635238E-1;9.106844360E0
1.322413576E0;-4.118026793E-1;9.562441826E0;8.714894056E-1;9.610898444E0
1.332406371E0;-4.070142806E-1;1.000297451E1;1.091755986E0;1.007060529E1
1.342414768E0;3.351882473E-2;1.001733971E1;1.063025594E0;1.007364094E1
1.352451967E0;6.607996821E-1;9.940725327E0;7.038952708E-1;9.987499426E0
1.362411066E0;7.565677166E-1;9.782708168E0;2.250549644E-1;9.814500677E0
1.372459116E0;5.698199868E-1;9.600749016E0;4.788403399E-3;9.617645211E0
1.382418141E0;3.782838583E-1;9.447520256E0;-4.788403213E-2;9.455211819E0
1.392405653E0;1.244984865E-1;9.346963882E0;2.968810201E-1;9.352506190E0
1.402380409E0;4.309562966E-2;9.289502144E0;9.624691010E-1;9.339328353E0
1.412382287E0;3.016694188E-1;9.275136948E0;1.321599364E0;9.373675625E0
1.422368726E0;6.655880809E-1;9.356540680E0;1.254561663E0;9.463708890E0
1.432452946E0;6.943184733E-1;9.394847870E0;3.351882398E-1;9.426430703E0
1.442612556E0;6.416460276E-1;9.332598686E0;-8.236053586E-1;9.390816453E0
1.452624861E0;2.154781520E-1;9.337387085E0;-9.624691010E-1;9.389333053E0
1.462676513E0;-1.484405100E-1;9.442731857E0;1.867477298E-1;9.445744768E0
1.472723339E0;-1.675941199E-1;9.394847870E0;-2.154781520E-1;9.398812963E0
1.482801252E0;-6.320692301E-1;9.284713745E0;-5.075707436E-1;9.320034812E0
