"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.446097851E0;3.643975019E0;9.404424667E0;1.018886433E1
0.000000000E0;-1.484405041E0;3.711012602E0;8.868123055E0;9.727213340E0
1.047010400E-2;-1.345541358E0;3.677493811E0;8.212111473E0;9.097978738E0
2.348847900E-2;-1.412579060E0;3.725377798E0;7.915230751E0;8.861416206E0
3.471566600E-2;-1.302445769E0;3.701435804E0;7.886500359E0;8.808738837E0
4.531076000E-2;-1.158793569E0;3.605667830E0;8.149862289E0;8.986873670E0
5.567280700E-2;-9.959878922E-1;3.514688015E0;8.494627953E0;9.246822577E0
6.582133000E-2;-8.140285611E-1;3.442862034E0;8.552088737E0;9.254953444E0
7.586909200E-2;-7.326257229E-1;3.442862034E0;8.508993149E0;9.208311672E0
8.598997300E-2;-7.134721279E-1;3.409343243E0;8.494627953E0;9.181033051E0
9.599391300E-2;-7.326257229E-1;3.428496838E0;8.556877136E0;9.247241607E0
1.059113830E-1;-6.799532771E-1;3.471592426E0;8.743624687E0;9.432139901E0
1.158716180E-1;-6.991068721E-1;3.514688015E0;8.748413086E0;9.453915262E0
1.260562360E-1;-7.134721279E-1;3.505111217E0;8.724471092E0;9.429275845E0
1.360535450E-1;-6.943184733E-1;3.529053211E0;8.729259491E0;9.441200452E0
1.460051990E-1;-7.469909191E-1;3.552995205E0;8.815450668E0;9.533831383E0
1.561770260E-1;-8.044517636E-1;3.548206806E0;8.753201485E0;9.479211487E0
1.660339400E-1;-7.900865674E-1;3.552995205E0;8.772355080E0;9.497485212E0
1.761213970E-1;-8.379706144E-1;3.658340216E0;8.762778282E0;9.532677017E0
1.861211250E-1;-8.475474119E-1;3.663128614E0;8.652645111E0;9.434252237E0
1.962539890E-1;-9.241618514E-1;3.701435804E0;8.518569946E0;9.333848942E0
2.061064210E-1;-1.015141487E0;3.825934410E0;8.398859978E0;9.284887467E0
2.160811370E-1;-1.077390790E0;3.864241600E0;8.255207062E0;9.178321071E0
2.259794950E-1;-1.058237195E0;3.854664803E0;8.221688271E0;9.141907061E0
2.359756740E-1;-1.039083481E0;3.854664803E0;8.293514252E0;9.204374713E0
2.459662640E-1;-1.024718285E0;3.835511208E0;8.293514252E0;9.194757878E0
2.560010590E-1;-1.058237195E0;3.912125587E0;8.370129585E0;9.299659233E0
2.659459560E-1;-1.086967587E0;3.912125587E0;8.374917984E0;9.307280827E0
2.759734050E-1;-1.039083481E0;3.878606796E0;8.384494781E0;9.296399190E0
2.860441290E-1;-1.015141487E0;3.859453201E0;8.513781548E0;9.402678740E0
2.961094910E-1;-1.048660398E0;3.845088005E0;8.504204750E0;9.391799020E0
3.060131720E-1;-1.005564690E0;3.869029999E0;8.470685959E0;9.366593516E0
3.161655130E-1;-1.048660398E0;3.888183594E0;8.532935143E0;9.435499056E0
3.259991830E-1;-1.086967587E0;3.921702385E0;8.700529099E0;9.605230592E0
3.361480180E-1;-1.192312479E0;3.993528366E0;8.614337921E0;9.569571342E0
3.459739360E-1;-1.288080573E0;4.055777550E0;8.585607529E0;9.582334775E0
3.559203950E-1;-1.177947283E0;4.031835556E0;8.623914719E0;9.592453431E0
3.660401240E-1;-1.335964561E0;4.185064793E0;8.604761124E0;9.661339587E0
