"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.421832500E-2;-2.873041928E-1;2.791639090E0;8.485051155E0;8.937107228E0
4.601982500E-2;-4.070142806E-1;2.849100113E0;8.173804283E0;8.665685693E0
6.186957500E-2;-5.219359994E-1;2.853888512E0;8.422801971E0;8.908461701E0
7.489345000E-2;-4.261679053E-1;2.705447912E0;9.088389397E0;9.492096150E0
8.625138700E-2;-2.537853718E-1;2.533065319E0;9.299078941E0;9.641249716E0
9.672185600E-2;-1.915361285E-1;2.389413357E0;9.466673851E0;9.765443978E0
1.070705900E-1;-2.729389966E-1;2.346317768E0;9.533711433E0;9.821983326E0
1.172794570E-1;-4.070142806E-1;2.365471363E0;9.605537415E0;9.900882002E0
1.276073910E-1;-5.171475410E-1;2.308010340E0;9.648633003E0;9.934307834E0
1.377558580E-1;-5.458779931E-1;2.284068346E0;9.677363396E0;9.958228421E0
1.477780910E-1;-5.698199868E-1;2.226607561E0;9.624691010E0;9.895309650E0
1.577947080E-1;-5.698199868E-1;2.250549555E0;9.552865028E0;9.830915439E0
1.677415160E-1;-5.410895944E-1;2.365471363E0;9.380482674E0;9.689256314E0
1.776559200E-1;-6.224924326E-1;2.475604534E0;9.088389397E0;9.440070787E0
1.875286220E-1;-7.469909191E-1;2.619256735E0;8.858546257E0;9.267812205E0
1.975614730E-1;-8.283938169E-1;2.748543501E0;8.686163902E0;9.148233219E0
2.075633990E-1;-7.805097699E-1;2.839523315E0;8.422801971E0;8.922761972E0
2.175378620E-1;-7.900865674E-1;2.820369720E0;8.307879448E0;8.809062553E0
2.276155930E-1;-7.805097699E-1;2.853888512E0;8.322244644E0;8.832532539E0
2.376309590E-1;-7.996633649E-1;2.868253708E0;8.465897560E0;8.974283388E0
2.476031420E-1;-8.331822157E-1;2.806004286E0;8.643068314E0;9.125266162E0
2.574827330E-1;-8.092401624E-1;2.719813108E0;8.791508675E0;9.238120900E0
2.675085290E-1;-7.469909191E-1;2.662352324E0;8.815450668E0;9.238954801E0
2.774604270E-1;-7.134721279E-1;2.705447912E0;8.710105896E0;9.148466298E0
2.875453760E-1;-7.565677166E-1;2.734178305E0;8.767566681E0;9.215115366E0
2.974548500E-1;-7.613561153E-1;2.738966703E0;8.781931877E0;9.230597447E0
3.074630870E-1;-7.278373241E-1;2.738966703E0;8.825027466E0;9.268915554E0
3.175422060E-1;-6.416460276E-1;2.734178305E0;8.743624687E0;9.183594792E0
3.276392650E-1;-5.410895944E-1;2.657563925E0;8.681375504E0;9.095147310E0
3.375782950E-1;-4.788403511E-1;2.729389906E0;8.738836288E0;9.167666934E0
3.476863100E-1;-5.602431893E-1;2.791639090E0;8.705317497E0;9.159130634E0
3.575913170E-1;-5.937620401E-1;2.868253708E0;8.595184326E0;9.080563104E0
3.675818210E-1;-6.081272364E-1;2.853888512E0;8.494627953E0;8.981826230E0
3.774810730E-1;-5.123591423E-1;2.791639090E0;8.628703117E0;9.083516840E0
3.873826990E-1;-3.878606856E-1;2.791639090E0;8.825027466E0;9.264167231E0
3.973435120E-1;-3.064578176E-1;2.719813108E0;8.925583839E0;9.335809907E0
4.073289180E-1;-2.394201756E-1;2.691082716E0;9.006986618E0;9.403459796E0
4.173716210E-1;-2.920926213E-1;2.676717520E0;9.016563416E0;9.410023943E0
4.273394730E-1;-3.256114423E-1;2.705447912E0;8.963891029E0;9.368928093E0
4.373263990E-1;-3.016694188E-1;2.652775526E0;8.939949036E0;9.330107780E0
4.473798620E-1;-2.633621991E-1;2.695871115E0;8.992621422E0;9.391715538E0
4.573050930E-1;-2.442085743E-1;2.748543501E0;8.935160637E0;9.351535960E0
4.673077090E-1;-2.825157940E-1;2.820369720E0;8.801085472E0;9.246264436E0
