"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.407790542E0;2.954444885E0;8.451532364E0;9.063057877E0
1.291526700E-2;-1.187524080E0;3.040636063E0;7.948749542E0;8.592921528E0
2.878689200E-2;-1.043871999E0;3.131615877E0;7.675810814E0;8.355522629E0
4.164620400E-2;-1.115697980E0;3.131615877E0;7.762001991E0;8.443960854E0
5.320986000E-2;-1.149216771E0;3.083731890E0;8.025363922E0;8.673901523E0
6.388518800E-2;-1.048660398E0;3.007117271E0;8.394071579E0;8.977910703E0
7.444885200E-2;-9.002198577E-1;2.873042107E0;8.638279915E0;9.147931276E0
8.472218400E-2;-8.523358107E-1;2.820369720E0;8.834604263E0;9.312958401E0
9.478485000E-2;-7.996633649E-1;2.715024710E0;9.006986618E0;9.441219657E0
1.046746830E-1;-8.427590132E-1;2.724601507E0;9.265560150E0;9.694550068E0
1.146871000E-1;-8.044517636E-1;2.710236311E0;9.337387085E0;9.755988985E0
1.246633080E-1;-7.613561153E-1;2.671929121E0;9.289502144E0;9.696067164E0
1.345484120E-1;-7.948749661E-1;2.772485495E0;9.069235802E0;9.516803038E0
1.444224640E-1;-8.523358107E-1;2.810792685E0;8.848969460E0;9.323695209E0
1.545254900E-1;-1.034295082E0;2.892195702E0;8.906430244E0;9.421202789E0
1.644215030E-1;-1.192312479E0;2.959233284E0;9.102754593E0;9.645662852E0
1.744080100E-1;-1.197100878E0;2.964021683E0;9.308655739E0;9.842232811E0
1.844302630E-1;-1.106121182E0;2.892195702E0;9.323021889E0;9.823799529E0
1.946383900E-1;-1.091755986E0;2.978386879E0;9.141061783E0;9.675832267E0
2.046024530E-1;-1.120486379E0;2.983175278E0;8.987833023E0;9.536035178E0
2.148114850E-1;-1.192312479E0;3.011905670E0;8.734047890E0;9.315405378E0
2.247920010E-1;-1.211466074E0;3.021482468E0;8.609549522E0;9.204420097E0
2.346442590E-1;-1.273715258E0;3.045424461E0;8.595184326E0;9.207288108E0
2.448328880E-1;-1.211466074E0;3.093308687E0;8.523358345E0;9.147887524E0
2.548467020E-1;-1.163581967E0;3.007117271E0;8.422801971E0;9.018884096E0
2.647901090E-1;-1.091755986E0;2.987963676E0;8.422801971E0;9.003524372E0
2.747423130E-1;-1.005564690E0;2.911349297E0;8.599972725E0;9.134913571E0
2.845914150E-1;-1.039083481E0;2.858676910E0;8.848969460E0;9.357135708E0
2.945969660E-1;-9.481038451E-1;2.839523315E0;8.834604263E0;9.328023695E0
3.045137410E-1;-9.337386489E-1;2.858676910E0;8.810662270E0;9.309762144E0
3.145626290E-1;-9.720458984E-1;2.791639090E0;8.810662270E0;9.293325113E0
3.246830730E-1;-1.086967587E0;2.753331900E0;8.834604263E0;9.317326203E0
3.345972950E-1;-1.091755986E0;2.724601507E0;8.983044624E0;9.450421960E0
3.444489060E-1;-9.864110947E-1;2.705447912E0;9.117119789E0;9.561084065E0
3.543307110E-1;-8.858546019E-1;2.628833532E0;9.136273384E0;9.548140943E0
3.642751140E-1;-7.805097699E-1;2.528276920E0;9.074024200E0;9.451946618E0
3.743878150E-1;-8.523358107E-1;2.513911724E0;9.150638580E0;9.527875677E0
3.843651660E-1;-8.427590132E-1;2.509123325E0;9.179368973E0;9.553363667E0
3.944068410E-1;-8.858546019E-1;2.494758129E0;9.370905876E0;9.737681112E0
4.046291790E-1;-9.816226959E-1;2.451662540E0;9.490615845E0;9.851193909E0
4.145063480E-1;-1.019929886E0;2.442085743E0;9.442731857E0;9.806590879E0
4.243904320E-1;-1.086967587E0;2.427720547E0;9.265560150E0;9.639809671E0
4.344474740E-1;-1.096544385E0;2.489969730E0;9.030928612E0;9.431862512E0
4.444229950E-1;-1.297657371E0;2.499546528E0;8.877699852E0;9.313710440E0
4.544182560E-1;-1.450886250E0;2.566584110E0;8.786720276E0;9.268164765E0
4.643793860E-1;-1.474828243E0;2.580949545E0;8.882488251E0;9.366697199E0
4.744244510E-1;-1.589749932E0;2.576161146E0;9.006986618E0;9.502090246E0
4.844009840E-1;-1.695094824E0;2.528276920E0;9.059659004E0;9.557350675E0
4.944482500E-1;-1.786074519E0;2.509123325E0;8.944737434E0;9.460131596E0
5.043558830E-1;-1.934514999E0;2.523488522E0;8.882488251E0;9.434454946E0
5.144622000E-1;-2.126051188E0;2.504334927E0;8.863334656E0;9.452538722E0
5.245183580E-1;-2.317587137E0;2.466027737E0;8.944737434E0;9.563515604E0
5.344529370E-1;-2.461239338E0;2.442085743E0;9.117119789E0;9.754145534E0
5.443527270E-1;-2.547430515E0;2.427720547E0;9.279925346E0;9.924728899E0
5.544351220E-1;-2.614468336E0;2.523488522E0;9.394847870E0;1.007306336E1
5.643733190E-1;-2.767697096E0;2.667140722E0;9.375694275E0;1.013298722E1
5.745494180E-1;-2.887407303E0;2.906560898E0;9.346963882E0;1.020543733E1
5.844189670E-1;-2.925714493E0;3.193865061E0;9.203310966E0;1.017160322E1
5.944577420E-1;-2.806004286E0;3.404554844E0;8.978256226E0;1.000368625E1
6.043911290E-1;-2.786850691E0;3.519476414E0;8.920795441E0;9.986683248E0
6.144593230E-1;-2.542642117E0;3.734954596E0;8.580819130E0;9.697699300E0
6.247374200E-1;-2.413355350E0;3.916913986E0;8.274360657E0;9.467393702E0
6.345494680E-1;-2.403778553E0;3.964797974E0;7.905653954E0;9.164995294E0
6.444429920E-1;-2.336740971E0;4.022258759E0;7.814674377E0;9.094397149E0
6.543842540E-1;-2.202665567E0;3.979163170E0;7.991845131E0;9.195382740E0
6.643608850E-1;-2.087743998E0;3.955221176E0;8.236053467E0;9.372034265E0
6.743472010E-1;-1.996764183E0;3.830722809E0;8.432378769E0;9.474519309E0
6.842958590E-1;-2.015917778E0;3.763684988E0;8.667010307E0;9.661589768E0
6.943591880E-1;-1.872265697E0;3.639186621E0;8.935160637E0;9.827825482E0
7.043683520E-1;-1.556231141E0;3.462015629E0;9.236829758E0;9.986312210E0
7.144184340E-1;-1.450886250E0;3.275267839E0;9.394847870E0;1.005463161E1
7.243544750E-1;-1.441309452E0;3.203441858E0;9.533711433E0;1.016026901E1
7.344699960E-1;-1.355118155E0;3.122039080E0;9.605537415E0;1.019067330E1
7.445472560E-1;-1.254561663E0;3.045424461E0;9.576807022E0;1.012737715E1
7.544463860E-1;-1.187524080E0;2.997540474E0;9.299078941E0;9.842171076E0
7.643534510E-1;-1.297657371E0;3.083731890E0;9.040505409E0;9.639712396E0
7.743654840E-1;-1.479616642E0;3.193865061E0;8.839392662E0;9.514457529E0
7.843405000E-1;-1.599326730E0;3.174711466E0;8.690952301E0;9.389850413E0
7.943880080E-1;-1.608903527E0;3.198653460E0;8.504204750E0;9.227212631E0
8.043127620E-1;-1.527500629E0;3.174711466E0;8.394071579E0;9.103432800E0
8.143096390E-1;-1.484405041E0;3.136404276E0;8.571242332E0;9.246982493E0
8.243060780E-1;-1.412579060E0;3.141192675E0;8.710105896E0;9.366344844E0
8.343582970E-1;-1.541865945E0;3.256114244E0;8.379706383E0;9.121354594E0
8.443119070E-1;-1.733402014E0;3.351882458E0;8.188169479E0;9.015870339E0
8.556892120E-1;-1.656787634E0;3.548206806E0;8.212111473E0;9.097993826E0
8.650673640E-1;-1.642422318E0;3.576937437E0;8.317456245E0;9.201744992E0
8.747044400E-1;-1.589749932E0;3.524264812E0;8.485051155E0;9.324368098E0
8.845809780E-1;-1.532289028E0;3.514688015E0;8.604761124E0;9.420342643E0
8.945862470E-1;-1.436521053E0;3.509899616E0;8.757989883E0;9.543865823E0
9.045508820E-1;-1.398213744E0;3.519476414E0;8.959102631E0;9.726625101E0
9.146556990E-1;-1.479616642E0;3.567360640E0;8.963891029E0;9.760464627E0
9.244981080E-1;-1.479616642E0;3.533841610E0;8.868123055E0;9.660274760E0
9.344948120E-1;-1.307234168E0;3.490746021E0;8.959102631E0;9.703591546E0
9.445031640E-1;-1.187524080E0;3.447650433E0;9.150638580E0;9.850415899E0
9.544978400E-1;-1.192312479E0;3.466804028E0;9.112331390E0;9.822164862E0
9.643956780E-1;-1.268926859E0;3.576937437E0;8.930372238E0;9.703412035E0
9.744295970E-1;-1.331176162E0;3.754108191E0;8.767566681E0;9.629931660E0
9.843390570E-1;-1.398213744E0;3.940855980E0;8.743624687E0;9.692075123E0
9.944052870E-1;-1.455674648E0;4.242525578E0;9.169792175E0;1.020799199E1
1.004440902E0;-1.675941229E0;4.539406300E0;9.777919769E0;1.090975268E1
1.014364209E0;-2.006340981E0;4.807557106E0;1.001733971E1;1.129093018E1
1.024429363E0;-2.260126352E0;4.927267075E0;9.950302124E0;1.133113606E1
1.034393940E0;-2.427720547E0;5.018246651E0;9.859322548E0;1.132620270E1
1.044338728E0;-2.710236311E0;5.046977043E0;9.739612579E0;1.129944297E1
1.054454622E0;-2.657563925E0;5.037400246E0;9.777919769E0;1.131573074E1
1.064383069E0;-2.365471363E0;4.788403511E0;1.026633644E1;1.157246417E1
1.074467293E0;-2.049436569E0;4.429273129E0;1.073560047E1;1.179286938E1
1.084487405E0;-1.819593310E0;4.113238335E0;1.084573364E1;1.174136226E1
1.094524961E0;-1.690306425E0;3.864241600E0;1.113303757E1;1.190520997E1
1.104407239E0;-1.527500629E0;3.629609823E0;1.135809326E1;1.202138129E1
1.114535378E0;-1.302445769E0;3.380612850E0;1.146343803E1;1.202228430E1
1.124396947E0;-1.182735682E0;3.169923067E0;1.142513084E1;1.191557345E1
1.134367232E0;-1.134851575E0;2.944868088E0;1.133893967E1;1.176994855E1
1.144329874E0;-1.010353088E0;2.782062292E0;1.140118885E1;1.177912523E1
1.154405195E0;-7.852981687E-1;2.633621931E0;1.163103199E1;1.195129963E1
1.164319856E0;-5.937620401E-1;2.466027737E0;1.174116516E1;1.201202753E1
1.174361686E0;-4.309563041E-1;2.379836559E0;1.134851646E1;1.160336896E1
1.184317601E0;-3.447650373E-1;2.351106167E0;1.052969933E1;1.079449540E1
1.194407559E0;-2.633621991E-1;2.403778553E0;9.691728592E0;9.988849487E0
1.204338038E0;-2.250549644E-1;2.437297344E0;9.035717010E0;9.361370091E0
1.214393777E0;-1.436520964E-1;2.542642117E0;8.456320763E0;8.831479247E0
1.224438647E0;-5.746084079E-2;2.710236311E0;7.833827972E0;8.289604533E0
1.234403582E0;2.250549644E-1;2.806004286E0;7.551311970E0;8.058946721E0
1.244372549E0;4.788403511E-1;2.777273893E0;7.814674377E0;8.307326525E0
1.254343533E0;4.692635238E-1;2.806004286E0;8.106766701E0;8.591480352E0
1.264282525E0;5.075707436E-1;2.973598480E0;8.331821442E0;8.861104024E0
1.274284521E0;5.075707436E-1;3.083731890E0;8.485051155E0;9.042296364E0
1.284370519E0;5.363011956E-1;3.141192675E0;8.623914719E0;9.193835732E0
1.294370018E0;6.655880809E-1;3.189076662E0;8.470685959E0;9.075557176E0
1.304291767E0;7.805097699E-1;3.265691042E0;8.226476669E0;8.885316645E0
1.314368142E0;8.331822157E-1;3.347094059E0;7.953537941E0;8.669255852E0
1.324513829E0;9.337386489E-1;3.538630009E0;7.508216381E0;8.352669240E0
1.334440173E0;9.145850539E-1;3.787626982E0;7.378929615E0;8.344530319E0
1.344350845E0;9.816226959E-1;4.108449936E0;7.220912457E0;8.365675149E0
1.354480181E0;8.619126081E-1;4.304774761E0;7.398083210E0;8.602651584E0
1.364417849E0;6.847416759E-1;4.434061527E0;7.728483200E0;8.936398904E0
1.374364683E0;5.841852427E-1;4.496310711E0;8.226476669E0;9.393242294E0
1.384283100E0;4.884171486E-1;4.410119534E0;8.858546257E0;9.907650953E0
1.394485808E0;4.118026793E-1;4.256890774E0;9.184157372E0;1.013111283E1
