"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.163581967E0;2.940079689E0;9.294290543E0;9.817424727E0
8.764964000E-3;-1.173158884E0;2.983175278E0;8.858546257E0;9.420694151E0
2.460558900E-2;-1.187524080E0;3.045424461E0;8.461109161E0;9.070567338E0
3.745990100E-2;-1.182735682E0;3.045424461E0;8.111555099E0;8.744758429E0
4.902755700E-2;-1.067813993E0;3.050212860E0;7.934384346E0;8.567291297E0
5.960588500E-2;-9.576807022E-1;3.055001259E0;7.972691536E0;8.591507164E0
7.046954900E-2;-7.469909191E-1;3.026270866E0;8.058882713E0;8.640711856E0
8.045888100E-2;-5.889736414E-1;2.925714493E0;7.977479935E0;8.517445706E0
9.040154700E-2;-5.841852427E-1;2.844311714E0;8.082824707E0;8.588564302E0
1.002658800E-1;-5.793967843E-1;2.729389906E0;8.394071579E0;8.845660380E0
1.102325470E-1;-5.985504389E-1;2.662352324E0;8.714894295E0;9.132128180E0
1.202418800E-1;-5.410895944E-1;2.590526342E0;8.896853447E0;9.282112148E0
1.302920470E-1;-5.458779931E-1;2.576161146E0;8.987833023E0;9.365667701E0
1.402396300E-1;-6.895300746E-1;2.652775526E0;8.930372238E0;9.341531889E0
1.502254220E-1;-6.991068721E-1;2.719813108E0;8.959102631E0;9.388911210E0
1.602423180E-1;-7.613561153E-1;2.896984100E0;8.901641846E0;9.392092821E0
1.702962660E-1;-8.092401624E-1;2.983175278E0;8.801085472E0;9.328092509E0
1.805207400E-1;-8.906430602E-1;2.987963676E0;8.839392662E0;9.373154999E0
1.904879770E-1;-8.667010069E-1;3.122039080E0;8.647856712E0;9.234918753E0
2.002550950E-1;-8.475474119E-1;3.055001259E0;8.523358345E0;9.093899427E0
2.103386540E-1;-9.385270476E-1;2.978386879E0;8.537723541E0;9.090893503E0
2.203034340E-1;-9.193734527E-1;2.868253708E0;8.753201485E0;9.256925143E0
2.305428240E-1;-7.852981687E-1;2.657563925E0;8.963891029E0;9.382466713E0
2.404700190E-1;-7.086837292E-1;2.533065319E0;8.916007042E0;9.295904158E0
2.503571160E-1;-6.272808313E-1;2.394201756E0;8.944737434E0;9.280841075E0
2.605711650E-1;-5.219359994E-1;2.370259762E0;9.179368973E0;9.494807174E0
2.707196890E-1;-3.974374831E-1;2.394201756E0;9.136273384E0;9.453129109E0
2.807154510E-1;-2.873041928E-1;2.437297344E0;8.882488251E0;9.215289446E0
2.906788320E-1;-2.873041928E-1;2.542642117E0;8.590395927E0;8.963396389E0
3.004785230E-1;-1.388636976E-1;2.772485495E0;8.164227486E0;8.623257469E0
3.107208680E-1;6.703764945E-2;2.839523315E0;7.862558365E0;8.359857101E0
3.207355410E-1;1.532289088E-1;3.112462282E0;7.608773232E0;8.222185272E0
3.304328770E-1;8.140286058E-2;3.323152065E0;7.359776020E0;8.075659053E0
3.403410450E-1;-1.005564705E-1;3.064578056E0;7.254431248E0;7.875818878E0
3.502551290E-1;-2.346317619E-1;3.787626982E0;7.354987621E0;8.276292233E0
3.601936710E-1;-3.782838583E-1;3.323152065E0;8.221688271E0;8.875956081E0
3.701744420E-1;-2.825157940E-1;3.102885485E0;9.050082207E0;9.571400182E0
3.803563280E-1;7.661445439E-2;2.767697096E0;9.964667320E0;1.034217636E1
3.903057710E-1;7.182604820E-2;2.518700123E0;1.031422138E1;1.061754077E1
4.002769920E-1;-1.005564705E-1;2.408566952E0;1.068292809E1;1.095154139E1
4.103261030E-1;-3.639186621E-1;2.355894566E0;1.083136845E1;1.109059144E1
4.206456580E-1;-6.703764796E-1;2.370259762E0;1.055364132E1;1.083729122E1
4.305294360E-1;-9.241618514E-1;2.379836559E0;1.018493366E1;1.050002718E1
4.407623250E-1;-1.264138460E0;2.647987127E0;9.907206535E0;1.033260002E1
4.506927690E-1;-1.441309452E0;2.738966703E0;9.744400978E0;1.022412157E1
4.605274910E-1;-1.517923832E0;2.873042107E0;9.533711433E0;1.007224490E1
4.706313520E-1;-1.786074519E0;2.983175278E0;9.021351814E0;9.668204874E0
4.809497830E-1;-1.905784607E0;3.040636063E0;8.556877136E0;9.278880803E0
4.907909980E-1;-1.900996208E0;3.055001259E0;8.154650688E0;8.913200723E0
5.004801060E-1;-1.814804912E0;3.064578056E0;7.824251175E0;8.596747174E0
5.102646600E-1;-1.857900500E0;2.877830505E0;8.269572258E0;8.950951235E0
5.202109370E-1;-1.379060149E0;3.074155092E0;8.178592682E0;8.845429028E0
5.302070750E-1;-1.632845521E0;2.925714493E0;8.609549522E0;9.238524383E0
5.401301440E-1;-1.781286120E0;2.944868088E0;8.801085472E0;9.450097025E0
5.501001790E-1;-1.963245392E0;2.940079689E0;9.184157372E0;9.841094841E0
5.602301960E-1;-2.068590164E0;2.839523315E0;9.782708168E0;1.039438969E1
5.701302050E-1;-1.924938202E0;2.839523315E0;9.921571732E0;1.049789814E1
5.800677090E-1;-2.068590164E0;2.662352324E0;1.021845245E1;1.076029534E1
5.901334610E-1;-2.015917778E0;2.600103140E0;1.019451046E1;1.071225953E1
6.003018370E-1;-1.857900500E0;2.518700123E0;9.911994934E0;1.039438734E1
6.105060250E-1;-1.647210717E0;2.446874142E0;9.658209801E0;1.009858964E1
6.203646190E-1;-1.489193439E0;2.427720547E0;9.251194954E0;9.679676246E0
6.305014160E-1;-1.580173135E0;2.509123325E0;9.275136948E0;9.737597876E0
6.405003150E-1;-1.771709204E0;2.614468336E0;9.375694275E0;9.893333175E0
6.502482640E-1;-2.082955360E0;2.724601507E0;9.662998199E0;1.025356965E1
6.602547390E-1;-2.408566952E0;2.815581083E0;1.017535686E1;1.082896943E1
6.705829760E-1;-2.786850691E0;2.796427488E0;1.045787334E1;1.117826723E1
6.804365950E-1;-3.064578056E0;2.576161146E0;1.040041256E1;1.114436298E1
6.904349040E-1;-3.203441858E0;2.255337954E0;1.054406452E1;1.124837258E1
7.003115590E-1;-3.423708439E0;2.044648170E0;1.103248119E1;1.173107015E1
7.103438860E-1;-3.509899616E0;2.049436569E0;1.160230160E1;1.229361574E1
7.201745500E-1;-3.447650433E0;1.972822189E0;1.166455078E1;1.232234011E1
7.301238820E-1;-2.968810081E0;2.159569979E0;1.109951878E1;1.169088931E1
7.400975480E-1;-2.892195702E0;2.298433542E0;9.821015358E0;1.049285163E1
7.502968810E-1;-3.059789658E0;2.365471363E0;8.585607529E0;9.416497446E0
7.601660470E-1;-3.150769472E0;2.365471363E0;7.503427982E0;8.474917966E0
7.700796300E-1;-3.093308687E0;2.389413357E0;6.928819656E0;7.955274769E0
7.801449220E-1;-3.011905670E0;2.269703150E0;7.546523571E0;8.436417851E0
7.901275680E-1;-3.184288263E0;1.934514999E0;8.695740700E0;9.460335425E0
8.000723910E-1;-3.414131641E0;1.814804912E0;9.715670586E0;1.045677133E1
8.100778020E-1;-3.031059265E0;1.733402014E0;1.003649330E1;1.062653286E1
8.202460080E-1;-2.930502892E0;1.829170108E0;9.816226959E0;1.040634529E1
8.301806110E-1;-2.796427488E0;1.982398987E0;9.255983353E0;9.870316118E0
8.402594120E-1;-3.208230257E0;2.355894566E0;8.647856712E0;9.519895288E0
