"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;4.544194698E0;-4.548983097E0;6.191405773E0;8.926167045E0
0.000000000E0;4.726154327E0;-4.525041103E0;7.005434036E0;9.585856130E0
1.105759900E-2;4.582501888E0;-4.683058739E0;7.000645638E0;9.588503640E0
2.403959900E-2;4.261679173E0;-4.726154327E0;7.407660007E0;9.765852287E0
3.545809900E-2;5.430049419E0;-5.042188644E0;7.637503624E0;1.064145501E1
4.616234900E-2;4.817133904E0;-4.486733913E0;7.072471619E0;9.662060601E0
5.648847400E-2;4.453215122E0;-4.491522312E0;6.732495308E0;9.237499157E0
6.662753600E-2;4.539406300E0;-4.553771496E0;6.536170483E0;9.168673239E0
7.692456700E-2;4.343081951E0;-4.453215122E0;6.373364925E0;8.905799584E0
8.690908300E-2;4.496310711E0;-4.314351559E0;6.248866558E0;8.824895050E0
9.684034100E-2;4.884171486E0;-4.347870350E0;6.435614109E0;9.174760849E0
1.068624700E-1;4.860229492E0;-4.477157116E0;6.684611320E0;9.399510363E0
1.168385340E-1;4.362235546E0;-4.577713490E0;6.924031258E0;9.376927461E0
1.268275660E-1;3.912125587E0;-4.596867085E0;7.024587631E0;9.261789514E0
1.368290820E-1;3.763684988E0;-4.687847137E0;6.995857239E0;9.224058433E0
1.467948400E-1;3.600879431E0;-4.721365929E0;7.048529625E0;9.216257309E0
1.568072190E-1;3.509899616E0;-4.616020679E0;7.024587631E0;9.108889813E0
1.668119090E-1;3.634398222E0;-4.572925091E0;6.856993675E0;9.007710951E0
1.768827540E-1;4.103661537E0;-4.453215122E0;6.651092529E0;8.994898263E0
1.870486760E-1;4.592078686E0;-4.390965939E0;6.718130112E0;9.246677280E0
1.969366370E-1;4.726154327E0;-4.491522312E0;6.785167694E0;9.410037622E0
2.069661180E-1;4.932055473E0;-4.448426723E0;6.842628479E0;9.535996854E0
2.169203580E-1;5.257667065E0;-4.726154327E0;7.809885979E0;1.053441582E1
2.269119780E-1;4.477157116E0;-4.802768707E0;7.431602001E0;9.916664328E0
2.369232880E-1;4.070142746E0;-4.855441093E0;6.871358871E0;9.346493617E0
2.469009430E-1;3.821146011E0;-5.061342239E0;6.378153324E0;8.994397252E0
2.569307710E-1;3.284844637E0;-4.912901878E0;6.315904140E0;8.649708334E0
2.668876850E-1;3.581725836E0;-4.774038315E0;5.975927353E0;8.445822016E0
2.770196420E-1;4.740519524E0;-4.793191910E0;6.052541733E0;9.059827563E0
2.869136200E-1;5.171475887E0;-4.707000732E0;5.798756599E0;9.084360013E0
2.968966090E-1;5.549759388E0;-4.783615112E0;5.635950565E0;9.243740670E0
3.068846040E-1;5.300762653E0;-4.831499100E0;5.722142220E0;9.175204621E0
3.168506010E-1;4.419696331E0;-4.979939461E0;5.238513470E0;8.472044385E0
3.268586000E-1;4.582501888E0;-4.922478676E0;5.477933407E0;8.673976843E0
3.368780990E-1;4.352658749E0;-5.032611847E0;5.621585369E0;8.710628120E0
3.468438490E-1;5.185841084E0;-5.233725071E0;5.573701382E0;9.238559030E0
3.568652240E-1;6.373364925E0;-5.200206280E0;5.353435040E0;9.814336073E0
3.668289110E-1;5.315127850E0;-4.850652695E0;5.099649429E0;8.819628106E0
3.768672550E-1;5.573701382E0;-5.147533417E0;4.649539471E0;8.898396746E0
3.868349270E-1;5.884947777E0;-5.056553841E0;4.505887508E0;8.972422712E0
3.968862630E-1;7.508216381E0;-5.161899090E0;4.496310711E0;1.016047860E1
4.068459310E-1;8.279149055E0;-5.133168221E0;5.104437828E0;1.099768206E1
4.169142650E-1;7.690176010E0;-4.994304657E0;5.544970989E0;1.071581025E1
4.269654320E-1;7.766790390E0;-5.214571476E0;5.367800236E0;1.078554904E1
4.369860150E-1;7.517793179E0;-5.209783077E0;4.831499100E0;1.034419825E1
