"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.373276200E-2;2.461239338E0;-2.820369720E0;7.402871609E0;8.295462163E0
4.527426200E-2;3.629609823E0;-3.347094059E0;6.919242859E0;8.500178107E0
6.103701200E-2;6.526593685E0;-3.380612850E0;7.230489254E0;1.031042886E1
7.402738700E-2;4.242525578E0;-2.523488522E0;6.885724068E0;8.472320434E0
8.529507400E-2;3.758896589E0;-2.758120298E0;6.454767704E0;7.962446688E0
9.607641800E-2;3.873818398E0;-3.026270866E0;6.512228489E0;8.159283316E0
1.065900900E-1;3.878606796E0;-3.280056238E0;7.034164429E0;8.676510175E0
1.167699260E-1;3.854664803E0;-3.337517262E0;7.331045628E0;8.929820390E0
1.267488440E-1;4.218583584E0;-3.390189648E0;7.484274387E0;9.236027090E0
1.366258030E-1;4.563348293E0;-3.428496838E0;7.852981567E0;9.708143886E0
1.466972820E-1;4.692635536E0;-3.677493811E0;8.475474358E0;1.036235758E1
1.566175220E-1;4.620809078E0;-3.821146011E0;8.485051155E0;1.038985690E1
1.665766420E-1;4.491522312E0;-3.763684988E0;8.082824707E0;9.983544091E0
1.765552020E-1;4.711789131E0;-3.576937437E0;7.876923561E0;9.850957468E0
1.866754820E-1;4.994304657E0;-3.428496838E0;7.905653954E0;9.959770781E0
1.967971220E-1;5.166687489E0;-3.452438831E0;8.097189903E0;1.020678587E1
2.068464420E-1;4.994304657E0;-3.509899616E0;8.293514252E0;1.029780816E1
2.166691020E-1;4.826710701E0;-3.505111217E0;8.250418663E0;1.018097976E1
2.267274320E-1;5.042188644E0;-3.131615877E0;7.967903137E0;9.935701522E0
2.365315970E-1;5.142745018E0;-3.074155092E0;7.479485989E0;9.583369267E0
2.465121790E-1;5.094861031E0;-3.232172251E0;7.230489254E0;9.417245947E0
2.565424700E-1;4.874594688E0;-3.236960649E0;6.890512466E0;9.039842348E0
2.665326160E-1;4.769249916E0;-3.131615877E0;6.909666061E0;8.960817365E0
2.765061890E-1;4.553771496E0;-3.265691042E0;6.909666061E0;8.896350819E0
2.865469750E-1;4.491522312E0;-3.308786631E0;7.321468830E0;9.204659009E0
2.966093680E-1;4.778826714E0;-3.303998232E0;7.594407558E0;9.561831166E0
3.067190650E-1;4.989516258E0;-3.236960649E0;7.398083210E0;9.492355973E0
3.167484130E-1;4.826710701E0;-3.198653460E0;7.278373241E0;9.300711649E0
3.268525870E-1;4.826710701E0;-3.260902643E0;6.828263283E0;8.975288391E0
3.367641740E-1;4.850652695E0;-3.198653460E0;6.871358871E0;8.998654803E0
3.466524680E-1;4.817133904E0;-3.189076662E0;7.058106422E0;9.120956927E0
3.566906150E-1;4.711789131E0;-3.213018656E0;7.584830761E0;9.489684050E0
3.665831880E-1;4.606443882E0;-3.193865061E0;7.757213593E0;9.570499568E0
3.765354750E-1;4.352658749E0;-3.227383852E0;7.599195957E0;9.333242947E0
3.865996180E-1;4.084507942E0;-3.256114244E0;7.082048416E0;8.800050845E0
3.965451900E-1;3.983951569E0;-3.275267839E0;6.780379295E0;8.518966657E0
4.065409760E-1;3.921702385E0;-3.533841610E0;6.708553314E0;8.536537570E0
4.167128690E-1;3.552995205E0;-3.634398222E0;7.230489254E0;8.838133299E0
4.265843150E-1;3.643975019E0;-3.452438831E0;8.020575523E0;9.461898306E0
4.365605380E-1;5.051765442E0;-3.390189648E0;8.987833023E0;1.085333416E1
4.465701500E-1;5.612008572E0;-3.385401249E0;9.514557838E0;1.155345804E1
4.565919560E-1;5.712565422E0;-3.438073635E0;8.968679428E0;1.117546262E1
4.665553590E-1;5.204994678E0;-3.457227230E0;8.039729118E0;1.018241789E1
4.766745600E-1;5.085284233E0;-3.672705412E0;7.517793179E0;9.791123278E0
4.865901610E-1;4.347870350E0;-3.596091032E0;7.364564419E0;9.277535037E0
4.965469610E-1;3.869029999E0;-3.711012602E0;7.072471619E0;8.874731684E0
5.065538610E-1;3.849876404E0;-3.581725836E0;7.115567684E0;8.847689628E0
5.165088110E-1;4.065354347E0;-3.648763418E0;7.206547260E0;9.042947742E0
5.264647860E-1;3.801992416E0;-3.715801001E0;7.206547260E0;8.955258055E0
5.364007740E-1;3.586514235E0;-3.811569214E0;7.259219646E0;8.949157173E0
5.464792680E-1;3.725377798E0;-3.912125587E0;7.283161640E0;9.067944079E0
5.566255150E-1;3.835511208E0;-3.859453201E0;7.364564419E0;9.156600587E0
5.666381380E-1;4.491522312E0;-3.711012602E0;7.967903137E0;9.870808863E0
5.765129500E-1;5.482721806E0;-3.548206806E0;7.953537941E0;1.029119894E1
5.864733560E-1;5.832275391E0;-3.624821424E0;7.268796444E0;9.999508405E0
5.965175590E-1;5.626373768E0;-3.667917013E0;6.828263283E0;9.577832555E0
6.065036600E-1;5.262455463E0;-3.854664803E0;6.435614109E0;9.163460438E0
6.164612110E-1;4.812345505E0;-3.835511208E0;6.655880928E0;9.064798200E0
6.264429860E-1;4.769249916E0;-3.921702385E0;7.134721279E0;9.435557328E0
6.365733740E-1;4.668693542E0;-3.892971992E0;7.709329605E0;9.817621570E0
6.465470680E-1;4.352658749E0;-4.055777550E0;8.044517517E0;1.000546010E1
6.565409150E-1;4.094084740E0;-4.209006786E0;8.398859978E0;1.024783474E1
6.664663380E-1;3.902548790E0;-4.113238335E0;8.020575523E0;9.822334162E0
6.764395500E-1;4.232948780E0;-4.098873138E0;7.383718014E0;9.446581820E0
6.864066560E-1;4.730942726E0;-4.007893562E0;6.938396454E0;9.305180022E0
6.963867090E-1;5.142745018E0;-3.873818398E0;6.842628479E0;9.395523391E0
7.064982350E-1;5.391742229E0;-3.811569214E0;6.622362137E0;9.351717725E0
7.165759980E-1;5.204994678E0;-3.830722809E0;6.521805286E0;9.181522261E0
7.264903800E-1;4.965574265E0;-3.840299606E0;6.579266071E0;9.093490577E0
7.365500710E-1;5.023035049E0;-3.869029999E0;7.024587631E0;9.462827570E0
7.464889160E-1;5.171475887E0;-3.888183594E0;7.690176010E0;1.004992247E1
7.564583390E-1;4.568136692E0;-4.060565948E0;7.115567684E0;9.380158428E0
7.665250500E-1;3.897760391E0;-4.228160381E0;6.421248913E0;8.619878994E0
7.764889060E-1;3.849876404E0;-4.357447147E0;6.143521786E0;8.458826981E0
7.866158340E-1;4.036623955E0;-4.419696331E0;6.531382084E0;8.859288941E0
7.965122980E-1;4.711789131E0;-4.434061527E0;6.976703644E0;9.515053977E0
8.065590300E-1;5.401319027E0;-4.304774761E0;7.062894821E0;9.878755804E0
8.165178960E-1;5.415684223E0;-4.180276394E0;6.641515732E0;9.534887391E0
8.264633290E-1;5.329493046E0;-4.319139957E0;5.995080948E0;9.110404034E0
8.365065450E-1;5.118803024E0;-4.496310711E0;5.980715752E0;9.065755088E0
8.465461530E-1;5.090072632E0;-4.462791920E0;5.899312973E0;8.979267491E0
8.565634570E-1;5.262455463E0;-4.616020679E0;6.028599739E0;9.238241133E0
8.665731090E-1;6.272808552E0;-4.740519524E0;5.832275391E0;9.789590835E0
8.764929350E-1;7.972691536E0;-4.204218388E0;4.817133904E0;1.021978677E1
8.866058480E-1;7.996633530E0;-3.993528366E0;4.821922302E0;1.015604999E1
8.965858050E-1;8.125920296E0;-4.070142746E0;4.774038315E0;1.026586988E1
9.065042830E-1;7.948749542E0;-4.170699596E0;4.453215122E0;1.002040315E1
9.165050220E-1;7.723694801E0;-4.228160381E0;3.830722809E0;9.602460041E0
9.265093920E-1;7.661445618E0;-4.395754337E0;3.993528366E0;9.693744063E0
9.364950770E-1;6.952761650E0;-4.539406300E0;4.261679173E0;9.333220960E0
9.464364190E-1;6.320692539E0;-4.539406300E0;4.486733913E0;8.982658011E0
9.564850900E-1;6.325480938E0;-4.860229492E0;4.663905144E0;9.240430239E0
9.665824260E-1;6.545747280E0;-4.477157116E0;3.241749048E0;8.567419693E0
9.766440940E-1;7.426813602E0;-4.510675907E0;2.710236311E0;9.102150201E0
9.865879280E-1;8.073247910E0;-4.357447147E0;2.973598480E0;9.644011892E0
