"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.485030000E-3;2.518700123E0;-5.200206280E0;7.661445618E0;9.596027543E0
2.821253000E-2;2.533065319E0;-5.133168221E0;7.599195957E0;9.513864361E0
4.406528000E-2;2.255337954E0;-5.142745018E0;7.177816868E0;9.113475220E0
5.698715500E-2;2.250549555E0;-5.243301868E0;7.129932880E0;9.131983939E0
6.834859200E-2;2.777273893E0;-5.444414616E0;7.067683220E0;9.343823997E0
7.907131100E-2;5.056553841E0;-5.501875401E0;7.153874874E0;1.034491640E1
8.939767000E-2;2.987963676E0;-5.046977043E0;7.671022415E0;9.656318610E0
9.956185000E-2;2.806004286E0;-5.492298603E0;7.872135162E0;1.000047579E1
1.096809400E-1;2.810792685E0;-5.415684223E0;7.910442352E0;9.990259723E0
1.197194850E-1;2.791639090E0;-5.329493046E0;7.738059998E0;9.801750734E0
1.297052570E-1;2.858676910E0;-5.406107426E0;7.335834026E0;9.550523129E0
1.397216430E-1;2.676717520E0;-5.372588634E0;7.196970463E0;9.371547853E0
1.498198360E-1;2.178723574E0;-5.329493046E0;7.259219646E0;9.265344160E0
1.598039330E-1;1.599326730E0;-5.224148273E0;7.091625214E0;8.952134904E0
1.697599810E-1;1.742978811E0;-5.195417881E0;6.919242859E0;8.826452506E0
1.797365050E-1;2.106897593E0;-5.123591423E0;6.885724068E0;8.837612940E0
1.897462670E-1;2.279279947E0;-5.181052685E0;6.866570473E0;8.898775986E0
1.998871480E-1;2.547430515E0;-5.161899090E0;6.799532890E0;8.908886124E0
2.098440890E-1;2.777273893E0;-5.224148273E0;7.000645638E0;9.165915928E0
2.197835590E-1;2.652775526E0;-5.147533417E0;7.235277653E0;9.267338398E0
2.297962940E-1;2.753331900E0;-5.166687489E0;7.465120792E0;9.487018741E0
2.397936620E-1;2.983175278E0;-5.195417881E0;7.627926826E0;9.699328295E0
2.497718460E-1;3.141192675E0;-5.224148273E0;7.675810814E0;9.801881873E0
2.597379380E-1;3.002328873E0;-5.272032261E0;7.527369976E0;9.667967810E0
2.697574840E-1;2.968810081E0;-5.358223438E0;7.292738438E0;9.524097103E0
2.797707570E-1;2.825158119E0;-5.377377033E0;7.182605267E0;9.406780564E0
2.898043930E-1;2.858676910E0;-5.396530628E0;6.971915245E0;9.268342823E0
2.997522110E-1;3.083731890E0;-5.492298603E0;6.818686485E0;9.282738373E0
3.097276200E-1;3.878606796E0;-5.276820660E0;6.445190907E0;9.188520707E0
3.197893250E-1;4.807557106E0;-5.300762653E0;7.819462776E0;1.059974944E1
3.298056770E-1;4.247313976E0;-5.401319027E0;6.856993675E0;9.707331534E0
3.398248530E-1;2.901772499E0;-5.473145008E0;6.047753334E0;8.657419957E0
3.497604410E-1;2.274491549E0;-5.755661011E0;5.453991413E0;8.249058601E0
3.597502350E-1;2.322375536E0;-5.851428986E0;5.329493046E0;8.248402599E0
3.698696320E-1;2.892195702E0;-5.832275391E0;5.913678169E0;8.794988442E0
3.799868310E-1;3.605667830E0;-5.894524574E0;7.024587631E0;9.853481204E0
3.900039300E-1;3.816357613E0;-5.841852188E0;8.231265068E0;1.079099379E1
3.998994800E-1;3.696647406E0;-5.894524574E0;8.590395927E0;1.105466075E1
4.100157550E-1;3.730166197E0;-5.870582581E0;8.006210327E0;1.060553080E1
4.199133920E-1;3.744531393E0;-5.726930618E0;7.110779285E0;9.868253731E0
4.298232110E-1;3.998316765E0;-5.612008572E0;6.445190907E0;9.435129198E0
4.398336200E-1;3.897760391E0;-5.645527840E0;6.440402508E0;9.409745221E0
4.497828250E-1;3.442862034E0;-5.803544998E0;6.651092529E0;9.474780492E0
4.598559270E-1;3.031059265E0;-5.918466568E0;6.904877663E0;9.586078569E0
4.697849780E-1;3.294421434E0;-5.942408562E0;7.196970463E0;9.897566163E0
4.797535040E-1;4.122815132E0;-5.995080948E0;7.259219646E0;1.027788257E1
